Tenor,Market Rate,Model Rate,Error (bp)
2Y,0.049013,0.048939757143743615,-0.7324285625638638
3Y,0.050544,0.050543999999999964,-3.469446951953614e-13
4Y,0.051673,0.05167300000000002,2.0816681711721685e-13
5Y,0.052591,0.05259099999999998,-2.0816681711721685e-13
6Y,0.053388,0.05338799999999999,-6.938893903907228e-14
7Y,0.054113,0.054112999999999994,-6.938893903907228e-14
8Y,0.054788,0.054787999999999996,-6.938893903907228e-14
9Y,0.055433,0.05543299999999999,-1.3877787807814457e-13
10Y,0.056047,0.05604700000000001,6.938893903907228e-14
