tenor,market_rate,quantlib_fair_rate,diff_bp,npv_per_100mm,dv01
2Y,0.049013,0.04898457883642553,-0.28421163574474106,-5388.3068790994585,-18958.78353108053
3Y,0.050544,0.05055529510793013,0.11295107930131554,3127.432775521651,-27688.38327944594
4Y,0.051673,0.05168744483497671,0.14444834976715115,5197.305529963225,-35980.37318074046
5Y,0.052591,0.052607404480699275,0.16404480699276636,7190.904736291617,-43835.00379020071
6Y,0.053388,0.053403044571309906,0.15044571309907884,7711.375305391848,-51256.86300090073
7Y,0.054113,0.05413241534472027,0.19415344720268013,11323.785056769848,-58323.89390927403
8Y,0.054788,0.05480392789820217,0.15927898202164337,10338.61008477956,-64908.81567396537
9Y,0.055433,0.055441375105178936,0.08375105178932973,5955.700006216764,-71111.94282311067
10Y,0.056047,0.056057049920478115,0.10049920478115426,7735.474436737597,-76970.50393166447
